survived,class,sex,age,survied
0,3,male,22,N
1,1,female,38,Y
1,3,female,26,Y
1,1,female,35,Y
0,3,male,35,N
0,3,male,,N
0,1,male,54,N
0,3,male,2,N
1,3,female,27,Y
1,2,female,14,Y
1,3,female,4,Y
1,1,female,58,Y
0,3,male,20,N
0,3,male,39,N
0,3,female,14,N
1,2,female,55,Y
0,3,male,2,N
1,2,male,,Y
0,3,female,31,N
1,3,female,,Y
0,2,male,35,N
1,2,male,34,Y
1,3,female,15,Y
1,1,male,28,Y
0,3,female,8,N
1,3,female,38,Y
0,3,male,,N
0,1,male,19,N
1,3,female,,Y
0,3,male,,N
0,1,male,40,N
1,1,female,,Y
1,3,female,,Y
0,2,male,66,N
0,1,male,28,N
0,1,male,42,N
1,3,male,,Y
0,3,male,21,N
0,3,female,18,N
1,3,female,14,Y
0,3,female,40,N
0,2,female,27,N
0,3,male,,N
1,2,female,3,Y
1,3,female,19,Y
0,3,male,,N
0,3,male,,N
1,3,female,,Y
0,3,male,,N
0,3,female,18,N
0,3,male,7,N
0,3,male,21,N
1,1,female,49,Y
1,2,female,29,Y
0,1,male,65,N
1,1,male,,Y
1,2,female,21,Y
0,3,male,28.5,N
1,2,female,5,Y
0,3,male,11,N
0,3,male,22,N
1,1,female,38,Y
0,1,male,45,N
0,3,male,4,N
0,1,male,,N
1,3,male,,Y
1,2,female,29,Y
0,3,male,19,N
1,3,female,17,Y
0,3,male,26,N
0,2,male,32,N
0,3,female,16,N
0,2,male,21,N
0,3,male,26,N
1,3,male,32,Y
0,3,male,25,N
0,3,male,,N
0,3,male,,N
1,2,male,0.83,Y
1,3,female,30,Y
0,3,male,22,N
1,3,male,29,Y
1,3,female,,Y
0,1,male,28,N
1,2,female,17,Y
1,3,female,33,Y
0,3,male,16,N
0,3,male,,N
1,1,female,23,Y
0,3,male,24,N
0,3,male,29,N
0,3,male,20,N
0,1,male,46,N
0,3,male,26,N
0,3,male,59,N
0,3,male,,N
0,1,male,71,N
1,1,male,23,Y
1,2,female,34,Y
0,2,male,34,N
0,3,female,28,N
0,3,male,,N
0,1,male,21,N
0,3,male,33,N
0,3,male,37,N
0,3,male,28,N
1,3,female,21,Y
1,3,male,,Y
0,3,male,38,N
1,3,female,,Y
0,1,male,47,N
0,3,female,14.5,N
0,3,male,22,N
0,3,female,20,N
0,3,female,17,N
0,3,male,21,N
0,3,male,70.5,N
0,2,male,29,N
0,1,male,24,N
0,3,female,2,N
0,2,male,21,N
0,3,male,,N
0,2,male,32.5,N
1,2,female,32.5,Y
0,1,male,54,N
1,3,male,12,Y
0,3,male,,N
1,3,male,24,Y
1,3,female,,Y
0,3,male,45,N
0,3,male,33,N
0,3,male,20,N
0,3,female,47,N
1,2,female,29,Y
0,2,male,25,N
0,2,male,23,N
1,1,female,19,Y
0,1,male,37,N
0,3,male,16,N
0,1,male,24,N
0,3,female,,N
1,3,female,22,Y
1,3,female,24,Y
0,3,male,19,N
0,2,male,18,N
0,2,male,19,N
1,3,male,27,Y
0,3,female,9,N
0,2,male,36.5,N
0,2,male,42,N
0,2,male,51,N
1,1,female,22,Y
0,3,male,55.5,N
0,3,male,40.5,N
0,3,male,,N
0,1,male,51,N
1,3,female,16,Y
0,3,male,30,N
0,3,male,,N
0,3,male,,N
0,3,male,44,N
1,2,female,40,Y
0,3,male,26,N
0,3,male,17,N
0,3,male,1,N
1,3,male,9,Y
1,1,female,,Y
0,3,female,45,N
0,1,male,,N
0,3,male,28,N
0,1,male,61,N
0,3,male,4,N
1,3,female,1,Y
0,3,male,21,N
0,1,male,56,N
0,3,male,18,N
0,3,male,,N
0,1,female,50,N
0,2,male,30,N
0,3,male,36,N
0,3,female,,N
0,2,male,,N
0,3,male,9,N
1,2,male,1,Y
1,3,female,4,Y
0,1,male,,N
1,3,female,,Y
1,1,male,45,Y
0,3,male,40,N
0,3,male,36,N
1,2,female,32,Y
0,2,male,19,N
1,3,female,19,Y
1,2,male,3,Y
1,1,female,44,Y
1,1,female,58,Y
0,3,male,,N
0,3,male,42,N
1,3,female,,Y
0,2,female,24,N
0,3,male,28,N
0,3,male,,N
0,3,male,34,N
